順位,ユーザID,ユーザ名,投稿数,暫定評価,最終評価,最終更新日時
84,47244 ,subegen,3,0.929292929,0.888888889,2021/9/24 0:37
85,71975 ,信吉悠介,7,0.844036697,0.888888889,2021/10/5 12:03
86,62262 ,umi,11,0.880733945,0.888888889,2021/10/4 15:43
87,8469 ,Tumurin,4,0.770642202,0.888888889,2021/10/3 22:16
88,43373 ,ホリー,1,0.859813084,0.886956522,2021/10/6 20:53
89,58346 ,tako ai,3,0.888888889,0.886792453,2021/9/24 21:27
90,73304 ,yamamura_d,7,0.918918919,0.886792453,2021/10/7 3:10
91,66285 ,kurokawa5,1,0.832,0.885245902,2021/9/28 4:32
92,50230 ,3wa,2,0.897196262,0.884955752,2021/10/6 8:56
93,7255 ,Kimiaki,24,0.91588785,0.884955752,2021/10/7 6:08
94,71973 ,toz,17,0.92,0.884615385,2021/9/28 21:36
95,57085 ,Hossy,7,0.961538462,0.884615385,2021/9/27 10:10
96,44328 ,zawawa777,24,0.921568627,0.884615385,2021/10/5 23:51
97,73426 ,しんしん,19,0.912621359,0.882882883,2021/10/6 23:36
98,73085 ,Harayama,8,0.933333333,0.882882883,2021/10/6 19:57
99,73348 ,uohige23,3,0.910891089,0.882352941,2021/10/4 15:08
100,57630 ,takamaru_fpv,5,0.930693069,0.880733945,2021/9/23 17:11
101,69363 ,makiton,1,0.880733945,0.879310345,2021/9/25 22:39
102,51597 ,nodataka,1,0.892857143,0.879310345,2021/9/27 2:44
103,73076 ,なたけ,3,0.862385321,0.878504673,2021/10/7 5:36
104,68315 ,kei sa,7,0.921568627,0.876190476,2021/9/30 22:06
105,5119 ,4n1i4kw,44,0.907216495,0.876190476,2021/10/6 22:07
106,61009 ,mma,10,0.845528455,0.876033058,2021/9/29 12:41
107,56023 ,ukaz,1,0.91588785,0.875,2021/10/6 19:58
108,73380 ,E-Sakai,11,0.905660377,0.872727273,2021/10/6 3:30
109,51603 ,わたぼう,4,0.859649123,0.871794872,2021/9/29 22:10
110,72226 ,yakabe,1,0.854545455,0.871794872,2021/9/24 16:02
111,73220 ,Toraji,1,0.865384615,0.87037037,2021/10/6 22:46
112,71001 ,daisukem,9,0.875,0.869565217,2021/10/3 16:41
113,57623 ,ttkkhhttkkhh,11,0.897196262,0.867256637,2021/9/22 7:44
114,61841 ,k ishi,20,0.825688073,0.864864865,2021/10/6 11:23
115,57020 ,shouc,4,0.872727273,0.864864865,2021/10/7 7:08
116,51123 ,GAZI28,1,0.882352941,0.862385321,2021/10/5 21:07
117,60038 ,takaaki iimuro,2,0.882882883,0.862068966,2021/10/7 6:16
118,38722 ,sabatora,15,0.842105263,0.86,2021/9/22 13:38
119,20423 ,ymkn,6,0.92,0.86,2021/10/6 0:04
120,72693 ,mk9jira,1,0.872727273,0.859649123,2021/9/21 18:22
121,55306 ,うえちゃん,4,0.876190476,0.859649123,2021/9/26 9:42
122,72361 ,chronobcelp,10,0.917431193,0.857142857,2021/10/2 17:36
123,72999 ,Hiro_D,5,0.909090909,0.854368932,2021/9/22 22:00
124,72838 ,nessy922,7,0.87037037,0.854368932,2021/10/3 9:47
125,71191 ,next-7,24,0.901960784,0.854368932,2021/10/7 6:24
126,68282 ,EitaF,12,0.884615385,0.852173913,2021/10/6 21:24
127,73500 ,k650250,17,0.903846154,0.851851852,2021/10/2 17:17
128,47167 ,daiki_,2,0.873786408,0.851851852,2021/10/6 18:55
129,58845 ,Shingo.K,7,0.895238095,0.851851852,2021/10/3 2:47
130,28557 ,mfuji,1,0.868686869,0.849056604,2021/10/2 13:16
131,20200 ,ishikawa,10,0.912621359,0.848484848,2021/10/6 23:56
132,71482 ,峰松慎一郎,3,0.844036697,0.846846847,2021/10/1 16:51
133,58418 ,Forest,1,0.854368932,0.846846847,2021/10/6 10:07
134,71215 ,.exe,17,0.882882883,0.844827586,2021/9/29 17:25
135,70885 ,H.ISHIBASHI,2,0.867924528,0.844827586,2021/10/4 18:25
136,61540 ,hirohirohirohiro,6,0.923076923,0.841121495,2021/9/25 18:16
137,63714 ,工藤真紀,9,0.921568627,0.839285714,2021/10/6 0:10
138,72231 ,shuhei_mix,4,0.818181818,0.838709677,2021/10/3 16:58
139,57758 ,bowplusplus,1,0.834951456,0.838095238,2021/10/6 18:22
140,71139 ,Geeeeen,3,0.884210526,0.836734694,2021/10/6 22:17
141,49522 ,oza,8,0.82,0.831683168,2021/10/6 23:20
142,71795 ,NS(TeamShiny),7,0.859649123,0.830508475,2021/10/4 13:11
143,73128 ,kamee,12,0.901960784,0.830188679,2021/9/21 20:00
144,46756 ,きのすけ,3,0.760330579,0.829268293,2021/9/20 10:21
145,70875 ,はり,3,0.833333333,0.828828829,2021/10/4 20:00
146,68533 ,morioki,32,0.907216495,0.828282828,2021/10/5 16:42
147,67611 ,nov84201,2,0.871287129,0.828282828,2021/9/28 11:22
148,49416 ,tarou yamada,7,0.769230769,0.828282828,2021/10/6 0:47
149,51262 ,shorie000,2,0.865384615,0.825688073,2021/10/7 4:20
150,73277 ,ari103736,2,0.8,0.821428571,2021/10/5 11:13
151,69014 ,otaK,2,0.901960784,0.819047619,2021/9/19 10:10
152,73078 ,Kento.T,4,0.857142857,0.817204301,2021/10/6 14:34
153,32876 ,k-jey,6,0.909090909,0.816326531,2021/9/19 13:55
154,67620 ,May Queen,2,0.888888889,0.811881188,2021/9/30 1:52
155,49952 ,ytetsu,1,0.86,0.807692308,2021/10/7 7:25
156,64497 ,ユキザキ コウヘイ,15,0.873786408,0.80733945,2021/10/6 23:39
157,27694 ,werty,3,0.826923077,0.80733945,2021/10/7 2:02
158,73185 ,sgr_ueno,5,0.78,0.803921569,2021/10/2 22:58
159,73321 ,S.Shota,12,0.903846154,0.803921569,2021/10/7 6:58
160,45953 ,ta_k,32,0.888888889,0.8,2021/10/3 21:08
161,45937 ,Take.M,9,0.849056604,0.8,2021/10/7 6:46
162,72412 ,onkk,5,0.831683168,0.8,2021/10/6 12:34
163,9340 ,riko,5,0.776119403,0.796992481,2021/10/7 7:54
164,63051 ,Shimon,1,0.804123711,0.795698925,2021/10/4 20:17
165,55436 ,モーリー,3,0.75,0.79338843,2021/10/7 7:48
166,49523 ,kuuumaaaa,1,0.808080808,0.792079208,2021/10/6 22:02
167,73364 ,kyamady,2,0.851485149,0.791666667,2021/10/1 23:42
168,43798 ,salusa,1,0.848484848,0.787234043,2021/10/3 19:52
169,65353 ,K.Yamashita,3,0.845360825,0.784313725,2021/9/16 14:42
170,69143 ,古賀義章,2,0.845360825,0.783505155,2021/9/25 11:44
171,59030 ,uyalumik,2,0.816326531,0.78,2021/9/28 0:29
172,72453 ,kenji ozaki,1,0.854166667,0.78,2021/10/3 20:56
173,72741 ,m_north,2,0.727272727,0.774193548,2021/10/7 2:36
174,57620 ,Onihashi,6,0.809917355,0.764227642,2021/9/27 22:27
175,21537 ,Yuji-A,1,0.838709677,0.755555556,2021/9/27 23:03
176,73015 ,大塚拓,18,0.769230769,0.755555556,2021/10/7 0:07
177,69276 ,入江,3,0.706896552,0.74015748,2021/10/5 15:54
178,73460 ,gateone,2,0.791208791,0.731182796,2021/9/27 1:02
179,72355 ,kujonegi2,3,0.62295082,0.73015873,2021/9/20 19:03
180,58246 ,yizumi,1,0.769230769,0.725274725,2021/10/6 0:24
181,45554 ,no,17,0.770642202,0.704,2021/10/6 21:46
182,71162 ,さわ,1,0.697674419,0.688888889,2021/9/26 15:56
183,73112 ,Ryoga Tanaka,8,0.707692308,0.677966102,2021/10/6 22:59
184,50493 ,jaked97,7,0.641025641,0.675,2021/10/6 19:22
185,69149 ,前田晋弥,2,0.653846154,0.670807453,2021/10/2 3:18
186,73509 ,sen,1,0.507042254,0.666666667,2021/10/3 19:09
187,41353 ,Mova Sol,3,0.731707317,0.65,2021/9/30 23:29
188,61770 ,Kentaro Minami,1,0.4,0.619047619,2021/10/6 23:06
189,63233 ,yuki tatsuoka,1,0.461538462,0.571428571,2021/10/7 1:39
190,51917 ,Mayu56,2,0.574257426,0.5,2021/10/7 1:07
191,71949 ,pnsk,6,0.404040404,0.450980392,2021/9/26 21:16
192,68104 ,Taich,1,0.140350877,0.28125,2021/10/3 15:57
